CustomerID,Name,Email,PhoneNumber,InvoiceAmount,InvoiceDate,DueDate,PaymentDate,AvgOrders60Days,RemindersCount,CreditLimit,CreditUsed
CUST066,Cascade Holdings,cascade@example.com,+1-555-0166,74800,2024-09-28,2024-10-28,2024-11-12,9.2,2,95000,73000
CUST067,Dawn Solutions,dawn@example.com,+1-555-0167,59200,2024-10-14,2024-11-14,2024-11-17,13.8,1,82000,58000
CUST068,Echo Trading,echo@example.com,+1-555-0168,143000,2024-08-12,2024-09-12,,5.8,3,140000,135000
CUST069,Fusion Corp,fusion@example.com,+1-555-0169,7600,2024-11-25,2024-12-25,2024-12-24,33.0,0,26000,7200
CUST070,Glacier Enterprises,glacier@example.com,+1-555-0170,91800,2024-09-10,2024-10-10,2024-10-22,11.2,2,108000,90000
CUST071,Horizon Partners,horizon@example.com,+1-555-0171,32600,2024-10-27,2024-11-27,2024-11-30,15.8,1,58000,31500
CUST072,Ignite Industries,ignite@example.com,+1-555-0172,201000,2024-07-18,2024-08-18,,3.5,5,195000,190000
CUST073,Jade Holdings,jade@example.com,+1-555-0173,11800,2024-11-17,2024-12-17,2024-12-16,24.5,0,39000,11200
CUST074,Kinetic Corp,kinetic@example.com,+1-555-0174,245000,2024-06-22,2024-07-22,,1.1,6,240000,235000
CUST075,Lunar Solutions,lunar@example.com,+1-555-0175,20100,2024-11-10,2024-12-10,2024-12-09,19.8,0,50000,19500
CUST076,Maverick Trading,maverick@example.com,+1-555-0176,81500,2024-09-22,2024-10-22,2024-11-05,9.8,2,98000,80000
CUST077,Nexus Enterprises,nexus@example.com,+1-555-0177,46500,2024-10-16,2024-11-16,2024-11-19,14.2,1,72000,45000
CUST078,Onyx Partners,onyx@example.com,+1-555-0178,168000,2024-08-03,2024-09-03,,4.8,4,165000,160000
CUST079,Pulse Corp,pulse@example.com,+1-555-0179,8200,2024-11-26,2024-12-26,2024-12-24,30.5,0,29000,7800
CUST080,Quest Industries,quest@example.com,+1-555-0180,98200,2024-09-15,2024-10-15,2024-10-25,10.8,2,112000,96000
CUST081,Radiant Holdings,radiant@example.com,+1-555-0181,35800,2024-10-24,2024-11-24,2024-11-26,16.2,1,62000,35000
CUST082,Spark Solutions,spark@example.com,+1-555-0182,176000,2024-07-22,2024-08-22,,4.0,5,170000,165000
CUST083,Thrive Trading,thrive@example.com,+1-555-0183,12600,2024-11-15,2024-12-15,2024-12-14,23.2,0,41000,12000
CUST084,Unity Corp,unity@example.com,+1-555-0184,267000,2024-06-18,2024-07-18,,0.7,7,260000,255000
CUST085,Vertex Enterprises,vertex@example.com,+1-555-0185,18400,2024-11-08,2024-12-08,2024-12-06,20.2,0,47000,18000
CUST086,Wave Partners,wave@example.com,+1-555-0186,77200,2024-09-26,2024-10-26,2024-11-08,9.5,2,96000,76000
CUST087,Apex Industries,apex@example.com,+1-555-0187,53800,2024-10-17,2024-11-17,2024-11-20,13.5,1,80000,52500
CUST088,Bright Holdings,bright@example.com,+1-555-0188,152000,2024-08-06,2024-09-06,,5.2,4,148000,145000
CUST089,Clarity Corp,clarity@example.com,+1-555-0189,9500,2024-11-24,2024-12-24,2024-12-23,28.5,0,33000,9000
CUST090,Drive Solutions,drive@example.com,+1-555-0190,94500,2024-09-12,2024-10-12,2024-10-24,11.0,2,110000,92000
CUST091,Elevate Trading,elevate@example.com,+1-555-0191,31200,2024-10-29,2024-11-29,2024-12-02,15.5,1,56000,30500
CUST092,Frontier Enterprises,frontier@example.com,+1-555-0192,184000,2024-07-25,2024-08-25,,3.2,5,180000,175000
CUST093,Gateway Partners,gateway@example.com,+1-555-0193,10900,2024-11-18,2024-12-18,2024-12-17,25.0,0,37000,10500
CUST094,Haven Corp,haven@example.com,+1-555-0194,232000,2024-06-28,2024-07-28,,1.3,6,225000,220000
CUST095,Impact Industries,impact@example.com,+1-555-0195,22600,2024-11-11,2024-12-11,2024-12-10,18.5,0,54000,22000
CUST096,Journey Holdings,journey@example.com,+1-555-0196,86400,2024-09-20,2024-10-20,2024-11-02,10.2,2,102000,85000
CUST097,Keystone Solutions,keystone@example.com,+1-555-0197,62100,2024-10-11,2024-11-11,2024-11-14,12.8,1,88000,61000
CUST098,Legacy Trading,legacy@example.com,+1-555-0198,139000,2024-08-09,2024-09-09,,5.5,4,135000,130000
CUST099,Matrix Corp,matrix@example.com,+1-555-0199,8800,2024-11-27,2024-12-27,2024-12-25,31.5,0,30000,8500
CUST100,Noble Enterprises,noble@example.com,+1-555-0200,108000,2024-09-08,2024-10-08,2024-10-20,10.5,2,118000,105000
